date,feed_id,feed_name,integration_type,vertical,owner,event_count,expected_events,minutes_late,sla_minutes,duplicate_rate,baseline_duplicate_rate,schema_drift_fields,malformed_payload_rate,payout_variance_usd,data_gap_rate,impacted_customers,source_error_score,integration_error_score,severity_score,severity_band,issue_type,likely_owner,anomaly_reason,status
"2026-04-13","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",180454,184000,13,20,0.0107,0.012,2,0.0028,-954,0.0193,25,3,2,35,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",237489,242000,179,240,0.0175,0.018,0,0.0037,382,0.0186,43,0,1,26,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",99877,97000,14,15,0.0131,0.011,1,0.002,-974,0,20,2,2,31,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",65189,65000,6,10,0.0067,0.008,1,0.0043,-603,0,10,2,2,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",50751,52000,198,360,0.004,0.006,1,0.0052,-947,0.024,9,1,0,33,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",128845,128000,30,30,0.0127,0.01,0,0.0042,500,0,29,1,0,27,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",155835,156000,18,20,0.0111,0.013,1,0.0031,-154,0.0011,25,2,1,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",75226,73000,12,10,0.0059,0.007,0,0.0019,-648,0,13,1,2,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",114257,111000,312,300,0.0164,0.014,1,0.0039,485,0,24,0,1,32,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-13","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",82323,88000,18,20,0.0109,0.009,3,0.0046,390,0.0645,20,1,2,47,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",193510,195509,15,20,0.0119,0.012,0,0.0027,-408,0.0102,26,0,0,25,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",264040,257136,194,240,0.0172,0.018,0,0.002,-537,0,37,2,1,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",103360,103067,15,15,0.0114,0.011,4,0.0008,-262,0,19,1,1,41,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",71639,69066,10,10,0.0097,0.008,3,0.0039,310,0,12,1,2,39,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",53912,55252,247,360,0.0053,0.006,1,0.0036,549,0.0243,8,1,3,31,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",135530,136006,30,30,0.0083,0.01,0,0.001,1025,0.0035,29,3,1,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",166677,165757,23,20,0.0139,0.013,1,0.0042,-343,0,34,1,3,34,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",76832,77566,9,10,0.0041,0.007,1,0.0026,150,0.0095,12,0,1,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",118958,117943,224,300,0.0138,0.014,0,0.0029,-1125,0,18,3,1,25,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-14","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",94295,93504,19,20,0.0112,0.009,4,0.002,-1552,0,19,3,1,45,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-15","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",202155,198351,14,20,0.0121,0.012,1,0.0022,-361,0,23,1,2,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-15","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",264151,260875,119,240,0.0157,0.018,0,0.0017,1390,0,41,1,0,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-15","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",105679,104565,15,15,0.0096,0.011,0,0.0053,257,0,17,0,3,25,"Low","Baseline variation","Integration logic","within control band","Healthy"
"2026-04-15","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",69357,70070,11,10,0.006,0.008,0,0.0013,634,0.0102,12,1,1,27,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-15","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",54783,56056,256,360,0.0074,0.006,0,0,878,0.0227,6,0,1,26,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-15","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",134613,137983,32,30,0.007,0.01,0,0.0023,-398,0.0244,27,0,1,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-15","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",161331,168167,21,20,0.0145,0.013,0,0.0049,763,0.0407,30,3,1,32,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-15","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",80923,78694,10,10,0.0073,0.007,0,0.0047,-1974,0,14,1,3,27,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-15","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",120835,119657,311,300,0.0114,0.014,0,0.0039,932,0,18,1,3,26,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-15","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",94934,94863,16,20,0.0099,0.009,0,0.0022,-1782,0,13,2,1,26,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-16","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",194156,190387,11,20,0.0112,0.012,0,0.0038,67,0,19,3,2,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-16","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",248497,250400,222,240,0.0191,0.018,0,0.0039,263,0.0076,44,1,2,26,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-16","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",100619,100367,8,15,0.0095,0.011,1,0.0009,755,0,16,1,1,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-16","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",64339,67256,9,10,0.0055,0.008,3,0.0025,-493,0.0434,13,3,2,42,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-16","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",54772,53805,249,360,0.0062,0.006,1,0.0032,-35,0,9,3,2,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-16","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",134416,132443,20,30,0.0115,0.01,0,0.0024,-688,0,31,2,2,25,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-16","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",162554,161415,25,20,0.0151,0.013,1,0.0006,-414,0,28,1,2,36,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-16","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",73800,75534,7,10,0.0094,0.007,0,0.0024,-668,0.023,13,1,3,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-16","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",118903,114853,293,300,0.0121,0.014,0,0.0044,481,0,23,1,0,25,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-16","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",88687,91055,11,20,0.013,0.009,2,0.0035,-189,0.026,16,3,1,39,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-17","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",182500,177613,14,20,0.0111,0.012,1,0.0027,-558,0,22,1,1,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-17","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",233831,233600,194,240,0.0183,0.018,1,0.0031,682,0,38,3,2,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-17","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",97569,93633,13,15,0.0095,0.011,0,0.0056,-108,0,15,1,3,25,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-17","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",62268,62744,11,10,0.0029,0.008,1,0.0025,-1674,0.0076,11,1,1,33,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-17","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",52375,50195,347,360,0.0109,0.006,1,0.0035,-629,0,8,0,3,34,"Low","Baseline variation","Integration logic","within control band","Healthy"
"2026-04-17","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",120340,123557,26,30,0.0089,0.01,1,0.0009,-215,0.026,28,0,3,30,"Low","Baseline variation","Integration logic","within control band","Healthy"
"2026-04-17","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",146993,150585,16,20,0.0112,0.013,4,0.0015,-411,0.0239,39,1,3,44,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-17","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",71423,70466,10,10,0.003,0.007,0,0.0033,-550,0,12,2,1,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-17","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",114609,107147,374,300,0.0099,0.014,0,0.0057,-338,0,22,2,1,32,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-17","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",83968,84945,15,20,0.0108,0.009,0,0.0058,-446,0.0115,16,1,2,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-18","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",171148,169649,15,20,0.0119,0.012,0,0.0018,448,0,27,3,2,23,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-18","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",223291,223125,191,240,0.0187,0.018,0,0.001,502,0,39,2,1,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-18","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",88483,89435,14,15,0.0117,0.011,1,0.0034,51,0.0106,18,2,0,30,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-18","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",58640,59930,6,10,0.0073,0.008,0,0.0029,-1228,0.0215,11,0,1,27,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-18","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",46934,47944,383,360,0.0093,0.006,3,0,-254,0.0211,10,2,3,43,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-18","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",123052,118017,17,30,0.0082,0.01,1,0.0018,-904,0,31,2,2,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-18","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",148781,143833,18,20,0.0175,0.013,2,0.0041,-82,0,34,0,3,38,"Low","Baseline variation","Integration logic","within control band","Healthy"
"2026-04-18","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",68626,67306,6,10,0.0073,0.007,0,0.004,-453,0,13,1,2,25,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-18","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",103673,102343,301,300,0.0137,0.014,3,0.0027,-111,0,22,1,2,37,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-18","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",76031,81137,21,20,0.0061,0.009,1,0.0006,1232,0.0629,16,1,0,36,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-19","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",168153,172491,19,20,0.0113,0.012,1,0.0041,-622,0.0251,28,1,3,32,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-19","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",232780,226864,191,240,0.0211,0.018,0,0.0005,-1042,0,41,2,1,26,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-19","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",94313,90933,9,15,0.0122,0.011,1,0.0044,-2262,0,19,3,1,32,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-19","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",61563,60934,10,10,0.0082,0.008,1,0.0025,-1004,0,10,1,1,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-19","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",49570,48748,207,360,0.0063,0.006,1,0.0034,194,0,8,0,0,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-19","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",122441,119994,27,30,0.0086,0.01,1,0.0059,541,0,35,2,1,30,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-19","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",149665,146243,12,20,0.0119,0.013,1,0.0054,-1181,0,25,2,2,30,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-19","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",69767,68434,7,10,0.0034,0.007,0,0.0028,-1753,0,14,1,1,25,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-19","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",103603,104057,239,300,0.0147,0.014,0,0.0033,-632,0.0044,22,0,1,25,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-19","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",81810,82496,12,20,0.0098,0.009,0,0.0032,269,0.0083,13,2,0,26,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-20","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",184131,184000,16,20,0.0109,0.012,2,0.0045,1094,0,27,0,1,34,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-20","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",234816,242000,259,240,0.0147,0.018,4,0.0046,1183,0.0297,57,0,1,49,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-20","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",95798,97000,11,15,0.0137,0.011,0,0.0045,295,0.0124,19,2,1,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-20","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",64634,65000,13,10,0.0089,0.008,3,0.0018,-368,0.0056,14,3,2,46,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-20","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",51973,52000,305,360,0.0079,0.006,0,0.0021,43,0.0005,6,2,0,25,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-20","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",130867,128000,20,30,0.0107,0.01,2,0.0036,389,0,36,1,3,34,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-20","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",156578,156000,17,20,0.0176,0.013,0,0.0019,-736,0,26,2,3,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-20","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",71351,73000,9,10,0.0083,0.007,1,0.0036,995,0.0226,14,1,1,33,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-20","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",109233,111000,345,300,0.0153,0.014,1,0.0007,616,0.0159,20,1,0,34,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-20","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",87109,88000,20,20,0.007,0.009,0,0.0055,-724,0.0101,13,0,3,27,"Low","Baseline variation","Integration logic","within control band","Healthy"
"2026-04-21","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",188241,195509,17,20,0.0122,0.012,0,0.0039,509,0.0372,28,1,2,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-21","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",262600,257136,177,240,0.0182,0.018,4,0.0054,516,0,54,2,0,44,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-21","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",104812,103067,7,15,0.0129,0.011,0,0.0021,955,0,17,2,1,26,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-21","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",67956,69066,6,10,0.0076,0.008,2,0.0046,238,0.0161,12,3,2,35,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-21","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",57031,55252,286,360,0.0037,0.006,0,0.0023,-327,0,8,2,1,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-21","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",135640,136006,21,30,0.0077,0.01,0,0.0036,1427,0.0027,26,0,2,26,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-21","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",163176,165757,21,20,0.0141,0.013,0,0,693,0.0156,29,3,1,27,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-21","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",76059,77566,9,10,0.0068,0.007,2,0.0037,-1160,0.0194,13,1,2,36,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-21","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",119003,117943,283,300,0.0157,0.014,1,0.0036,1,0,21,0,3,30,"Low","Baseline variation","Integration logic","within control band","Healthy"
"2026-04-21","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",89068,93504,10,20,0.0105,0.009,0,0,1355,0.0474,14,3,1,30,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-22","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",198892,198351,18,20,0.0144,0.012,0,0.0005,-604,0,21,0,1,25,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-22","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",270008,260875,157,240,0.0143,0.018,1,0.0042,1388,0,39,2,0,30,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-22","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",105056,104565,15,15,0.0096,0.011,0,0.0023,-1205,0,17,1,1,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-22","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",70687,70070,9,10,0.0087,0.008,0,0.0023,-344,0,9,3,2,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-22","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",56547,56056,349,360,0.0034,0.006,1,0.004,786,0,7,0,1,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-22","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",138101,137983,38,30,0.009,0.01,1,0.0032,1222,0,37,1,1,36,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-22","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",165101,168167,16,20,0.01,0.013,0,0.0053,-550,0.0182,26,2,2,27,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-22","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",75081,78694,8,10,0.0091,0.007,1,0.0034,-1664,0.0459,14,1,3,37,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-22","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",123199,119657,282,300,0.0163,0.014,0,0.0039,721,0,21,1,2,27,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-22","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",94917,94863,17,20,0.0106,0.009,0,0.0062,1572,0,13,1,1,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-23","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",186368,190387,19,20,0.0128,0.012,2,0.0022,391,0.0211,27,1,1,35,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-23","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",248194,250400,175,240,0.02,0.018,0,0.0046,1006,0.0088,51,1,0,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-23","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",101424,100367,12,15,0.0124,0.011,0,0.0022,-14,0,16,0,2,24,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-23","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",65953,67256,10,10,0.0096,0.008,1,0.0022,988,0.0194,12,0,2,32,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-23","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",53774,53805,358,360,0.0055,0.006,1,0.0021,-845,0.0006,9,0,1,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-23","api-marketplace","Product API / Marketplace","API","Marketplace","Catalog integrations",131818,132443,34,30,0.0106,0.01,1,0.0045,-220,0.0047,30,3,2,34,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-23","server-fashion","Server Postback / Fashion","Server","Fashion","Tracking",156542,161415,17,20,0.0132,0.013,1,0.0008,1930,0.0302,28,1,1,32,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-23","webhook-food","Referral Webhook / Food","Webhook","Food","Referral integrations",77226,75534,6,10,0.0049,0.007,2,0.0033,991,0,13,0,1,34,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-23","ftp-home","FTP Batch / Home Goods","FTP","Home Goods","Affiliate integrations",117674,114853,233,300,0.0105,0.014,1,0.0039,-684,0,24,1,1,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-23","api-mobile","Mobile API / Apps","API","Mobile Apps","Mobile integrations",88407,91055,13,20,0.0055,0.009,1,0.0021,609,0.0291,17,0,0,31,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-24","api-beauty","Creator API / Beauty","API","Beauty","Creator integrations",175068,177613,17,20,0.0103,0.012,1,0.0034,309,0.0143,25,1,1,30,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-24","csv-retail","Affiliate CSV / Retail","CSV","Retail","Affiliate integrations",237709,233600,257,240,0.0136,0.018,1,0.0016,110,0,48,3,0,29,"Low","Baseline variation","Source data","within control band","Healthy"
"2026-04-24","pixel-travel","Publisher Pixel / Travel","Pixel","Travel","Tracking",93676,93633,13,15,0.0098,0.011,1,0.002,876,0,18,2,2,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-24","webhook-saas","Referral Webhook / SaaS","Webhook","SaaS","Referral integrations",61830,62744,6,10,0.0068,0.008,1,0.0015,-660,0.0146,10,1,1,29,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
"2026-04-24","csv-finance","Content Partner CSV / Finance","CSV","Finance","Publisher data",50615,50195,319,360,0.0056,0.006,1,0.0024,342,0,9,0,2,28,"Low","Baseline variation","Edge case or shared ownership","within control band","Healthy"
